"id","manz_ccnct","cod_barr","barrio","zona","y_pred21","y_pred21_red","y_pred20","y_pred20_red","y_pred19","y_pred19_red","y_pred18","y_pred18_red","n2017","n2016","n2015","n2014","n2013","n2012","n2011","n2010"
905,"7600110000000002110410","0211","Prados del Norte","La Flora",0.0964820595809935,0,0.259000414766201,0,0.42699662113763,0,0.329870606960836,0,0,1,0,0,0,0,0,1
906,"7600110000000002110216","0211","Prados del Norte","La Flora",0.400069931493959,0,0.250095024982634,0,0.484156560195025,0,0.95742847616944,1,1,0,0,0,0,0,0,2
907,"7600110000000002110215","0211","Prados del Norte","La Flora",0.22802207753659,0,0.0964820595809935,0,0.245299556511904,0,0.42699662113763,0,0,0,1,0,0,0,0,0
908,"7600110000000002110214","0211","Prados del Norte","La Flora",0.341455391805995,0,0.258164382186188,0,0.353570682809534,0,0.199513242022379,0,1,0,0,1,0,1,0,0
909,"7600110000000002110213","0211","Prados del Norte","La Flora",0.122287126439157,0,0.122287126439157,0,0.115685174630154,0,0.115685174630154,0,0,0,0,0,0,0,0,0
910,"7600110000000002190101","0298","Area en Desarrollo - Parque del Amor","La Flora",9.02615384615384,9,12.3861538461538,12,9.14615384615384,9,11.316923076923,11,12,14,16,18,6,12,6,6
911,"7600110000000002190112","0298","Area en Desarrollo - Parque del Amor","La Flora",4.73805128205128,5,4.80163886540809,5,5.1651282051282,5,4.8582109002109,5,4,6,5,8,6,6,6,3
912,"7600110000000002190111","0298","Area en Desarrollo - Parque del Amor","La Flora",8.12153846153846,8,7.13653846153846,7,9.08492307692307,9,7.12338461538461,7,8,7,13,15,16,8,8,7
913,"7600110000000002190109","0298","Area en Desarrollo - Parque del Amor","La Flora",3.89143589743589,4,3.41664835164835,3,3.02354923820141,3,3.74842512389571,4,0,3,3,0,6,2,1,2
914,"7600110000000002190108","0298","Area en Desarrollo - Parque del Amor","La Flora",6.15676923076923,6,4.3507577251808,4,6.3476923076923,6,4.76247863247863,5,2,7,3,4,7,5,1,7
915,"7600110000000002190107","0298","Area en Desarrollo - Parque del Amor","La Flora",6.59961538461538,7,9.22,9,6.07692307692307,6,9.34307692307692,9,7,11,11,10,6,13,9,8
916,"7600110000000002190104","0298","Area en Desarrollo - Parque del Amor","La Flora",9.44923076923077,9,9.37384615384615,9,9.35846153846153,9,11.416923076923,11,10,16,16,10,12,10,5,4
917,"7600110000000002130309","0212","La Flora","La Flora",0.122287126439157,0,0.379912341072964,0,0.188373905746818,0,0.489573901789784,0,0,0,0,0,0,2,1,0
918,"7600110000000002170114","0215","El Bosque","La Flora",0.493776313969716,0,0.224992208755746,0,0.603566568909506,1,0.385052579548582,0,0,1,1,1,0,1,0,0
919,"7600110000000019310113","1908","Santa Isabel","El Lido",0.198593631808718,0,0.142250705086754,0,0.26545085919852,0,0.490979497566805,0,0,1,0,1,0,0,0,0
920,"7600110000000019400406","1910","San Fernando Viejo","Oeste",0.122287126439157,0,0.122287126439157,0,0.149224576572222,0,0.115055754816565,0,0,0,0,0,0,0,1,0
